ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,SECCION,NOMBRE_MUNICIPIO
15,MEXICO,5,22,82,4211,TECAMAC
15,MEXICO,5,22,82,4230,TECAMAC
15,MEXICO,5,22,82,4232,TECAMAC
15,MEXICO,5,22,82,4233,TECAMAC
15,MEXICO,5,22,82,4234,TECAMAC
15,MEXICO,5,22,82,4248,TECAMAC
15,MEXICO,5,22,82,4249,TECAMAC
15,MEXICO,5,22,82,4250,TECAMAC
15,MEXICO,5,22,82,4253,TECAMAC
15,MEXICO,5,22,82,4254,TECAMAC
15,MEXICO,5,22,82,4255,TECAMAC
15,MEXICO,5,33,82,4188,TECAMAC
15,MEXICO,5,33,82,4189,TECAMAC
15,MEXICO,5,33,82,4190,TECAMAC
15,MEXICO,5,33,82,4192,TECAMAC
15,MEXICO,5,33,82,4193,TECAMAC
15,MEXICO,5,33,82,4194,TECAMAC
15,MEXICO,5,33,82,4195,TECAMAC
15,MEXICO,5,33,82,4196,TECAMAC
15,MEXICO,5,33,82,4197,TECAMAC
15,MEXICO,5,33,82,4198,TECAMAC
15,MEXICO,5,33,82,4199,TECAMAC
15,MEXICO,5,33,82,4200,TECAMAC
15,MEXICO,5,33,82,4201,TECAMAC
15,MEXICO,5,33,82,4202,TECAMAC
15,MEXICO,5,33,82,4203,TECAMAC
15,MEXICO,5,33,82,4204,TECAMAC
15,MEXICO,5,33,82,4205,TECAMAC
15,MEXICO,5,33,82,4206,TECAMAC
15,MEXICO,5,33,82,4207,TECAMAC
15,MEXICO,5,33,82,4209,TECAMAC
15,MEXICO,5,33,82,4210,TECAMAC
15,MEXICO,5,33,82,4212,TECAMAC
15,MEXICO,5,33,82,4214,TECAMAC
15,MEXICO,5,33,82,4215,TECAMAC
15,MEXICO,5,33,82,4216,TECAMAC
15,MEXICO,5,33,82,4217,TECAMAC
15,MEXICO,5,33,82,4218,TECAMAC
15,MEXICO,5,33,82,4219,TECAMAC
15,MEXICO,5,33,82,4220,TECAMAC
15,MEXICO,5,33,82,4221,TECAMAC
15,MEXICO,5,33,82,4222,TECAMAC
15,MEXICO,5,33,82,4223,TECAMAC
15,MEXICO,5,33,82,4224,TECAMAC
15,MEXICO,5,33,82,4225,TECAMAC
15,MEXICO,5,33,82,4226,TECAMAC
15,MEXICO,5,33,82,4227,TECAMAC
15,MEXICO,5,33,82,4229,TECAMAC
15,MEXICO,5,33,82,4231,TECAMAC
15,MEXICO,5,33,82,4246,TECAMAC
15,MEXICO,5,33,82,4247,TECAMAC
15,MEXICO,5,33,82,6263,TECAMAC
15,MEXICO,5,33,82,6857,TECAMAC
15,MEXICO,5,33,82,6858,TECAMAC
15,MEXICO,5,33,82,6859,TECAMAC
15,MEXICO,5,33,82,6860,TECAMAC
15,MEXICO,5,33,82,6861,TECAMAC
15,MEXICO,5,33,82,6862,TECAMAC
15,MEXICO,5,33,82,6863,TECAMAC
15,MEXICO,5,33,82,6864,TECAMAC
15,MEXICO,5,33,82,6865,TECAMAC
15,MEXICO,5,33,82,6866,TECAMAC
15,MEXICO,5,33,82,6867,TECAMAC
15,MEXICO,5,33,82,7011,TECAMAC
15,MEXICO,5,33,82,7012,TECAMAC
15,MEXICO,5,33,82,7013,TECAMAC
15,MEXICO,5,33,82,7014,TECAMAC
15,MEXICO,5,33,82,7015,TECAMAC
15,MEXICO,5,33,82,7016,TECAMAC
15,MEXICO,5,33,82,7017,TECAMAC
15,MEXICO,5,33,82,7018,TECAMAC
15,MEXICO,5,33,82,7019,TECAMAC
15,MEXICO,5,33,82,7020,TECAMAC
15,MEXICO,5,33,82,7021,TECAMAC
15,MEXICO,5,33,82,7022,TECAMAC
15,MEXICO,5,33,82,7023,TECAMAC
15,MEXICO,5,33,82,7024,TECAMAC
15,MEXICO,5,33,82,7046,TECAMAC
15,MEXICO,5,33,82,7047,TECAMAC
15,MEXICO,5,33,82,7048,TECAMAC
15,MEXICO,5,33,82,7049,TECAMAC
15,MEXICO,5,33,82,7050,TECAMAC
15,MEXICO,5,33,82,7051,TECAMAC
15,MEXICO,5,33,82,7052,TECAMAC
15,MEXICO,5,33,82,7053,TECAMAC
15,MEXICO,5,33,82,7054,TECAMAC
15,MEXICO,5,33,82,7055,TECAMAC
15,MEXICO,5,33,82,7056,TECAMAC
15,MEXICO,5,33,82,7057,TECAMAC
15,MEXICO,5,33,82,7058,TECAMAC
15,MEXICO,5,33,82,7059,TECAMAC
15,MEXICO,5,33,82,7060,TECAMAC
15,MEXICO,5,33,82,7061,TECAMAC
15,MEXICO,5,33,82,7062,TECAMAC
15,MEXICO,5,33,82,7063,TECAMAC
15,MEXICO,20,22,82,4235,TECAMAC
15,MEXICO,20,22,82,4236,TECAMAC
15,MEXICO,20,22,82,4237,TECAMAC
15,MEXICO,20,22,82,4238,TECAMAC
15,MEXICO,20,22,82,4239,TECAMAC
15,MEXICO,20,22,82,4240,TECAMAC
15,MEXICO,20,22,82,4242,TECAMAC
15,MEXICO,20,22,82,4243,TECAMAC
15,MEXICO,20,22,82,4244,TECAMAC
15,MEXICO,20,22,82,4245,TECAMAC
15,MEXICO,20,22,82,6264,TECAMAC
15,MEXICO,20,22,82,6265,TECAMAC
15,MEXICO,20,22,82,6266,TECAMAC
15,MEXICO,20,22,82,6267,TECAMAC
15,MEXICO,20,22,82,6268,TECAMAC
15,MEXICO,20,22,82,6269,TECAMAC
15,MEXICO,20,22,82,6270,TECAMAC
15,MEXICO,20,22,82,6271,TECAMAC
15,MEXICO,20,22,82,6272,TECAMAC
15,MEXICO,20,22,82,6273,TECAMAC
15,MEXICO,20,22,82,6274,TECAMAC
15,MEXICO,20,22,82,6275,TECAMAC
15,MEXICO,20,22,82,6276,TECAMAC
15,MEXICO,20,22,82,6277,TECAMAC
15,MEXICO,20,22,82,6278,TECAMAC
15,MEXICO,20,22,82,6279,TECAMAC
15,MEXICO,20,22,82,6280,TECAMAC
15,MEXICO,20,22,82,6281,TECAMAC
15,MEXICO,20,22,82,6282,TECAMAC
15,MEXICO,20,22,82,6283,TECAMAC
15,MEXICO,20,22,82,6284,TECAMAC
15,MEXICO,20,22,82,6285,TECAMAC
15,MEXICO,20,22,82,6286,TECAMAC
15,MEXICO,20,22,82,6287,TECAMAC
15,MEXICO,20,22,82,6288,TECAMAC
15,MEXICO,20,22,82,6289,TECAMAC
15,MEXICO,20,22,82,6291,TECAMAC
15,MEXICO,20,22,82,6292,TECAMAC
15,MEXICO,20,22,82,6293,TECAMAC
15,MEXICO,20,22,82,6294,TECAMAC
15,MEXICO,20,22,82,6295,TECAMAC
15,MEXICO,20,22,82,6296,TECAMAC
15,MEXICO,20,22,82,6297,TECAMAC
15,MEXICO,20,22,82,6298,TECAMAC
15,MEXICO,20,22,82,6299,TECAMAC
15,MEXICO,20,22,82,6300,TECAMAC
15,MEXICO,20,22,82,6301,TECAMAC
15,MEXICO,20,22,82,6302,TECAMAC
15,MEXICO,20,22,82,6303,TECAMAC
15,MEXICO,20,22,82,6304,TECAMAC
15,MEXICO,20,22,82,6305,TECAMAC
15,MEXICO,20,22,82,6306,TECAMAC
15,MEXICO,20,22,82,6307,TECAMAC
15,MEXICO,20,22,82,6308,TECAMAC
15,MEXICO,20,22,82,6309,TECAMAC
15,MEXICO,20,22,82,6310,TECAMAC
15,MEXICO,20,22,82,6311,TECAMAC
15,MEXICO,20,22,82,6312,TECAMAC
15,MEXICO,20,22,82,6313,TECAMAC
15,MEXICO,20,22,82,6314,TECAMAC
15,MEXICO,20,22,82,6315,TECAMAC
15,MEXICO,20,22,82,6316,TECAMAC
15,MEXICO,20,22,82,6317,TECAMAC
15,MEXICO,20,22,82,6318,TECAMAC
15,MEXICO,20,22,82,6319,TECAMAC
15,MEXICO,20,22,82,6320,TECAMAC
15,MEXICO,20,22,82,6321,TECAMAC
15,MEXICO,20,22,82,6322,TECAMAC
15,MEXICO,20,22,82,6323,TECAMAC
15,MEXICO,20,22,82,6324,TECAMAC
15,MEXICO,20,22,82,6325,TECAMAC
15,MEXICO,20,22,82,6326,TECAMAC
15,MEXICO,20,22,82,6327,TECAMAC
15,MEXICO,20,22,82,6328,TECAMAC
15,MEXICO,20,22,82,6329,TECAMAC
15,MEXICO,20,22,82,6330,TECAMAC
15,MEXICO,20,22,82,6331,TECAMAC
15,MEXICO,20,22,82,6332,TECAMAC
15,MEXICO,20,22,82,6333,TECAMAC
15,MEXICO,20,22,82,6334,TECAMAC
15,MEXICO,20,22,82,6335,TECAMAC
15,MEXICO,20,22,82,6336,TECAMAC
15,MEXICO,20,22,82,6337,TECAMAC
15,MEXICO,20,22,82,6338,TECAMAC
15,MEXICO,20,22,82,6339,TECAMAC
15,MEXICO,20,22,82,6340,TECAMAC
15,MEXICO,20,22,82,6341,TECAMAC
15,MEXICO,20,22,82,6342,TECAMAC
15,MEXICO,20,22,82,6343,TECAMAC
15,MEXICO,20,22,82,6344,TECAMAC
15,MEXICO,20,22,82,6345,TECAMAC
15,MEXICO,20,22,82,6346,TECAMAC
15,MEXICO,20,22,82,6347,TECAMAC
15,MEXICO,20,22,82,6348,TECAMAC
15,MEXICO,20,22,82,6349,TECAMAC
15,MEXICO,20,22,82,6350,TECAMAC
15,MEXICO,20,22,82,6351,TECAMAC
15,MEXICO,20,22,82,6546,TECAMAC
15,MEXICO,20,22,82,6547,TECAMAC
15,MEXICO,20,22,82,6548,TECAMAC
15,MEXICO,20,22,82,6549,TECAMAC
15,MEXICO,20,22,82,6550,TECAMAC
15,MEXICO,20,22,82,6551,TECAMAC
15,MEXICO,20,22,82,6552,TECAMAC
15,MEXICO,20,22,82,6553,TECAMAC
15,MEXICO,20,22,82,6554,TECAMAC
15,MEXICO,20,22,82,6555,TECAMAC
15,MEXICO,20,22,82,6556,TECAMAC
15,MEXICO,20,22,82,6557,TECAMAC
15,MEXICO,20,22,82,6558,TECAMAC
15,MEXICO,20,22,82,6559,TECAMAC
15,MEXICO,20,22,82,6560,TECAMAC
15,MEXICO,20,22,82,6561,TECAMAC
15,MEXICO,20,22,82,6562,TECAMAC
15,MEXICO,20,22,82,6563,TECAMAC
15,MEXICO,20,22,82,6564,TECAMAC
15,MEXICO,20,22,82,6565,TECAMAC
15,MEXICO,20,22,82,6566,TECAMAC
15,MEXICO,20,22,82,6567,TECAMAC
15,MEXICO,20,22,82,6568,TECAMAC
15,MEXICO,20,22,82,6569,TECAMAC
15,MEXICO,20,22,82,6570,TECAMAC
15,MEXICO,20,22,82,6571,TECAMAC
15,MEXICO,20,22,82,6572,TECAMAC
15,MEXICO,20,22,82,6573,TECAMAC
15,MEXICO,20,22,82,6574,TECAMAC
15,MEXICO,20,22,82,6575,TECAMAC
15,MEXICO,20,22,82,6576,TECAMAC
15,MEXICO,20,22,82,6577,TECAMAC
15,MEXICO,20,22,82,6578,TECAMAC
15,MEXICO,20,22,82,6579,TECAMAC
